osmid,y,x,street_count,highway,geometry
295218537,45.6603472,25.6261526,3,,POINT (25.6261526 45.6603472)
295218553,45.654813,25.6317933,3,,POINT (25.6317933 45.654813)
295218555,45.6528617,25.6329606,3,,POINT (25.6329606 45.6528617)
295218575,45.6594542,25.6261919,4,,POINT (25.6261919 45.6594542)
295218578,45.6592126,25.6275413,3,,POINT (25.6275413 45.6592126)
295218582,45.6556862,25.6301165,3,,POINT (25.6301165 45.6556862)
295218593,45.6554084,25.6291108,3,,POINT (25.6291108 45.6554084)
295218594,45.6542615,25.6297854,3,,POINT (25.6297854 45.6542615)
295218596,45.6533894,25.6302959,3,,POINT (25.6302959 45.6533894)
295218598,45.6552899,25.6280125,4,,POINT (25.6280125 45.6552899)
295218606,45.6577757,25.6266756,3,,POINT (25.6266756 45.6577757)
295218617,45.6572754,25.6247095,4,,POINT (25.6247095 45.6572754)
295218618,45.6570351,25.6237382,4,,POINT (25.6237382 45.6570351)
295218619,45.6545322,25.6308083,3,,POINT (25.6308083 45.6545322)
295218620,45.6526035,25.6319679,4,,POINT (25.6319679 45.6526035)
295218622,45.6501495,25.6331332,3,,POINT (25.6331332 45.6501495)
295218623,45.6523271,25.6309094,4,,POINT (25.6309094 45.6523271)
295218638,45.6550291,25.6269618,3,,POINT (25.6269618 45.6550291)
295218640,45.6549092,25.62703,3,,POINT (25.62703 45.6549092)
295218651,45.6531481,25.6291718,3,,POINT (25.6291718 45.6531481)
295218656,45.6530217,25.6265307,3,,POINT (25.6265307 45.6530217)
295218658,45.6520801,25.6270185,3,,POINT (25.6270185 45.6520801)
295218662,45.6515893,25.6282892,1,,POINT (25.6282892 45.6515893)
295218663,45.6516965,25.6286946,3,,POINT (25.6286946 45.6516965)
295218665,45.6503284,25.6292144,3,,POINT (25.6292144 45.6503284)
295218671,45.652171,25.6273672,3,,POINT (25.6273672 45.652171)
295218673,45.6503005,25.6284427,3,,POINT (25.6284427 45.6503005)
295218674,45.6503039,25.6288957,3,,POINT (25.6288957 45.6503039)
295218675,45.6507758,25.6317959,3,,POINT (25.6317959 45.6507758)
295218676,45.6501677,25.6320422,3,,POINT (25.6320422 45.6501677)
295218678,45.6501248,25.6346121,3,,POINT (25.6346121 45.6501248)
295218680,45.64947,25.6322235,3,,POINT (25.6322235 45.64947)
295218689,45.6495805,25.6281667,3,,POINT (25.6281667 45.6495805)
295992614,45.633056,25.6359225,1,,POINT (25.6359225 45.633056)
295992615,45.6346133,25.6389403,3,,POINT (25.6389403 45.6346133)
295993646,45.6327508,25.6362508,1,,POINT (25.6362508 45.6327508)
295993961,45.6334248,25.6375914,3,,POINT (25.6375914 45.6334248)
295993965,45.6329757,25.6380423,2,,POINT (25.6380423 45.6329757)
295993971,45.6328985,25.6380653,2,,POINT (25.6380653 45.6328985)
295994027,45.6326458,25.6382391,3,,POINT (25.6382391 45.6326458)
296300329,45.6568503,25.6228875,3,,POINT (25.6228875 45.6568503)
296300336,45.6575125,25.625643,4,,POINT (25.625643 45.6575125)
296300337,45.657122,25.6270232,3,,POINT (25.6270232 45.657122)
296300348,45.6557241,25.6244134,1,,POINT (25.6244134 45.6557241)
296535328,45.6591228,25.6247962,3,,POINT (25.6247962 45.6591228)
300021757,45.6428968,25.5970326,3,,POINT (25.5970326 45.6428968)
300021760,45.6432081,25.5963391,4,,POINT (25.5963391 45.6432081)
300021850,45.6423251,25.5825793,3,,POINT (25.5825793 45.6423251)
300021869,45.645051,25.5783668,3,,POINT (25.5783668 45.645051)
300021897,45.6456641,25.5774876,3,stop,POINT (25.5774876 45.6456641)
300021899,45.6460895,25.5772398,3,,POINT (25.5772398 45.6460895)
300021901,45.6456781,25.577177,3,,POINT (25.577177 45.6456781)
300021931,45.6452919,25.5799305,3,,POINT (25.5799305 45.6452919)
300021937,45.638408,25.5812866,4,,POINT (25.5812866 45.638408)
300021956,45.639773,25.578253,3,,POINT (25.578253 45.639773)
300021967,45.6380927,25.5821602,4,,POINT (25.5821602 45.6380927)
300085581,45.659536,25.6167023,3,,POINT (25.6167023 45.659536)
300319452,45.6607628,25.5585182,3,,POINT (25.5585182 45.6607628)
300319455,45.6610409,25.5585285,3,,POINT (25.5585285 45.6610409)
300319470,45.662896,25.567451,3,,POINT (25.567451 45.662896)
300319474,45.66563,25.5736256,3,,POINT (25.5736256 45.66563)
300319482,45.6875754,25.5445817,3,,POINT (25.5445817 45.6875754)
300319521,45.6753478,25.5596558,3,,POINT (25.5596558 45.6753478)
300319524,45.6734793,25.5623099,3,,POINT (25.5623099 45.6734793)
300319746,45.6669766,25.5720118,3,,POINT (25.5720118 45.6669766)
300319747,45.6672017,25.5717753,3,,POINT (25.5717753 45.6672017)
300319749,45.6643376,25.581351,3,,POINT (25.581351 45.6643376)
300319752,45.6644446,25.5807708,4,,POINT (25.5807708 45.6644446)
300319754,45.6665204,25.5800398,3,,POINT (25.5800398 45.6665204)
300319796,45.6665871,25.5764202,3,,POINT (25.5764202 45.6665871)
300319822,45.6672844,25.571885,3,,POINT (25.571885 45.6672844)
300320531,45.6640829,25.5780909,3,,POINT (25.5780909 45.6640829)
300323101,45.6664481,25.5777007,3,,POINT (25.5777007 45.6664481)
300345702,45.6706523,25.5790274,3,,POINT (25.5790274 45.6706523)
300345710,45.6653103,25.5840353,3,,POINT (25.5840353 45.6653103)
304242772,45.6420121,25.6259814,3,,POINT (25.6259814 45.6420121)
304242774,45.642695,25.6252554,3,,POINT (25.6252554 45.642695)
304242776,45.6432636,25.6246669,3,,POINT (25.6246669 45.6432636)
304242778,45.6444967,25.6233682,3,,POINT (25.6233682 45.6444967)
304244581,45.6405747,25.6274909,3,,POINT (25.6274909 45.6405747)
304244583,45.6380556,25.6301335,3,,POINT (25.6301335 45.6380556)
304245166,45.6414859,25.6265482,4,traffic_signals,POINT (25.6265482 45.6414859)
304728657,45.6621466,25.6084056,1,,POINT (25.6084056 45.6621466)
304728658,45.6620872,25.6087638,3,,POINT (25.6087638 45.6620872)
304728659,45.6619358,25.6096769,3,,POINT (25.6096769 45.6619358)
304728660,45.6618488,25.6102016,3,,POINT (25.6102016 45.6618488)
304728662,45.6613993,25.6077639,3,,POINT (25.6077639 45.6613993)
304728664,45.6612711,25.608556,3,,POINT (25.608556 45.6612711)
304728682,45.6608808,25.608427,3,,POINT (25.608427 45.6608808)
304728684,45.660745,25.6093106,3,,POINT (25.6093106 45.660745)
304728700,45.6612825,25.608489,3,,POINT (25.608489 45.6612825)
305978028,45.6620373,25.5934786,3,,POINT (25.5934786 45.6620373)
306572482,45.6497342,25.6172258,3,,POINT (25.6172258 45.6497342)
310818070,45.6347032,25.6230564,1,,POINT (25.6230564 45.6347032)
310818071,45.635145,25.6236144,3,,POINT (25.6236144 45.635145)
310819282,45.6324063,25.62521,2,,POINT (25.62521 45.6324063)
310819288,45.6329856,25.6249675,3,,POINT (25.6249675 45.6329856)
310819289,45.633515,25.6246749,3,,POINT (25.6246749 45.633515)
310819293,45.6340435,25.6243942,3,,POINT (25.6243942 45.6340435)
310819298,45.6348934,25.6241239,3,,POINT (25.6241239 45.6348934)
310819325,45.6327388,25.6241998,1,,POINT (25.6241998 45.6327388)
310819329,45.6328527,25.6245449,3,,POINT (25.6245449 45.6328527)
310822374,45.6340559,25.6239026,1,,POINT (25.6239026 45.6340559)
310838504,45.6360499,25.6365363,3,crossing,POINT (25.6365363 45.6360499)
310838527,45.6376574,25.6411208,3,,POINT (25.6411208 45.6376574)
310838528,45.637249,25.6413022,3,,POINT (25.6413022 45.637249)
310840554,45.6386378,25.6400952,3,,POINT (25.6400952 45.6386378)
310840555,45.6388098,25.6404715,3,,POINT (25.6404715 45.6388098)
310840560,45.6388893,25.6412519,3,,POINT (25.6412519 45.6388893)
310840570,45.6403108,25.6399651,3,,POINT (25.6399651 45.6403108)
310840574,45.6404205,25.6403522,3,,POINT (25.6403522 45.6404205)
310840585,45.6407894,25.6384802,3,,POINT (25.6384802 45.6407894)
310840587,45.6389988,25.6374843,4,,POINT (25.6374843 45.6389988)
310840589,45.6390195,25.6366101,3,crossing,POINT (25.6366101 45.6390195)
310842209,45.6402482,25.6241764,3,,POINT (25.6241764 45.6402482)
310864066,45.5967864,25.547504,3,,POINT (25.547504 45.5967864)
315501384,45.5949264,25.553654,3,,POINT (25.553654 45.5949264)
316566121,45.6542364,25.5659068,3,,POINT (25.5659068 45.6542364)
316566127,45.6580844,25.5625879,3,,POINT (25.5625879 45.6580844)
317367225,45.6597057,25.5688862,2,,POINT (25.5688862 45.6597057)
317367418,45.6629211,25.5764036,3,,POINT (25.5764036 45.6629211)
319068675,45.6535548,25.6062677,1,,POINT (25.6062677 45.6535548)
333622418,45.5993936,25.5561718,1,,POINT (25.5561718 45.5993936)
335790082,45.6613177,25.6265773,3,,POINT (25.6265773 45.6613177)
335790090,45.6604924,25.6283564,3,,POINT (25.6283564 45.6604924)
335790102,45.6547833,25.6335002,2,,POINT (25.6335002 45.6547833)
335790109,45.6613801,25.6311108,3,,POINT (25.6311108 45.6613801)
335790110,45.6624601,25.6304724,3,,POINT (25.6304724 45.6624601)
335790112,45.6633785,25.6299145,3,traffic_signals,POINT (25.6299145 45.6633785)
335790113,45.6619319,25.6329109,3,,POINT (25.6329109 45.6619319)
335790115,45.6642187,25.6321394,3,,POINT (25.6321394 45.6642187)
335790131,45.6619927,25.6345367,2,,POINT (25.6345367 45.6619927)
335790132,45.6617288,25.633664,4,,POINT (25.633664 45.6617288)
335790136,45.6629831,25.6322743,3,,POINT (25.6322743 45.6629831)
335790141,45.6631438,25.6328112,3,,POINT (25.6328112 45.6631438)
335790144,45.6615584,25.6331371,3,,POINT (25.6331371 45.6615584)
346614808,45.5954242,25.548463,3,,POINT (25.548463 45.5954242)
346633963,45.5955648,25.553576,3,,POINT (25.553576 45.5955648)
346693467,45.5940279,25.5546783,3,,POINT (25.5546783 45.5940279)
349753675,45.6300065,25.6005525,3,,POINT (25.6005525 45.6300065)
349753679,45.6296548,25.5998693,1,,POINT (25.5998693 45.6296548)
353322003,45.5970736,25.5607096,1,,POINT (25.5607096 45.5970736)
353322188,45.5978046,25.5608049,3,,POINT (25.5608049 45.5978046)
353323343,45.59506,25.564168,1,,POINT (25.564168 45.59506)
353325455,45.5981086,25.5573482,3,,POINT (25.5573482 45.5981086)
353325525,45.5978336,25.5571707,3,,POINT (25.5571707 45.5978336)
353325572,45.5976528,25.5551725,3,,POINT (25.5551725 45.5976528)
353326006,45.5986781,25.5559689,4,,POINT (25.5559689 45.5986781)
353753131,45.6193079,25.6308985,4,,POINT (25.6308985 45.6193079)
353753148,45.6214061,25.6332907,3,,POINT (25.6332907 45.6214061)
353753161,45.6212138,25.6337224,3,,POINT (25.6337224 45.6212138)
353753189,45.6192731,25.6314281,3,,POINT (25.6314281 45.6192731)
353753199,45.619784,25.6270474,3,,POINT (25.6270474 45.619784)
353753209,45.6186344,25.6278589,3,,POINT (25.6278589 45.6186344)
353753225,45.6180862,25.6280009,3,,POINT (25.6280009 45.6180862)
353753251,45.6174484,25.6305742,3,,POINT (25.6305742 45.6174484)
353753253,45.6188012,25.6309134,3,,POINT (25.6309134 45.6188012)
353753256,45.619205,25.6273924,3,,POINT (25.6273924 45.619205)
353753263,45.6182862,25.6310793,3,,POINT (25.6310793 45.6182862)
353753286,45.6206996,25.6341247,3,,POINT (25.6341247 45.6206996)
353753290,45.6203722,25.6318386,3,,POINT (25.6318386 45.6203722)
353753294,45.6200782,25.6322141,4,,POINT (25.6322141 45.6200782)
353753298,45.6197601,25.6326279,4,,POINT (25.6326279 45.6197601)
