,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,influence_factor_page_rank,influence_factor_page_rank_minMax,influence_factor_page_rank_norm
2076,2076,2388253256,"(25.62143, 45.6584061)",25.62143,45.6584061,0.0002322406497583,2.322406497583643e-05,0.06040767362840407,0.004549268275965682
2077,2077,2388262536,"(25.6274522, 45.6494054)",25.6274522,45.6494054,0.0002830834536143,0.0001415417268071,0.30208144453856756,0.027726037115332797
2078,2078,2460947675,"(25.6268909, 45.651248)",25.6268909,45.651248,0.0002500056297641,2.5000562976418983e-05,0.06040767362840407,0.004897259293247772
2079,2079,2460947679,"(25.6264017, 45.6532717)",25.6264017,45.6532717,0.000338976824765,3.3897682476501e-05,0.0646197981403285,0.006640080092763771
2080,2080,2471479605,"(25.5833808, 45.6935025)",25.5833808,45.6935025,0.0001911360732791,0.0001911360732791,0.411486058964952,0.03744087331248714
2081,2081,2471479614,"(25.5831173, 45.6933707)",25.5831173,45.6933707,0.0002155317312825,0.0002155317312825,0.46530262773548275,0.042219640214045846
2082,2082,2471479621,"(25.5832454, 45.6932149)",25.5832454,45.6932149,0.000204170484293,0.000204170484293,0.4402398346005651,0.03999413143431589
2083,2083,2471490128,"(25.5774976, 45.7078951)",25.5774976,45.7078951,0.0003356897261057,3.3568972610577805e-05,0.06389466758215531,0.0065756904449309215
2084,2084,2471490129,"(25.5797085, 45.7125524)",25.5797085,45.7125524,0.0003630513733934,3.630513733934769e-05,0.06993061862200113,0.007111666701084191
2085,2085,2471490130,"(25.5767961, 45.7108438)",25.5767961,45.7108438,0.0003965053185909,3.9650531859094514e-05,0.07731052426797386,0.00776698252004648
2086,2086,2478053515,"(25.5866266, 45.702942)",25.5866266,45.702942,0.0001616661865553,1.6166618655533903e-05,0.025505255078495274,0.003166813624392494
2087,2087,2494879469,"(25.595321, 45.6449624)",25.595321,45.6449624,0.0002988429112684,2.98842911268481e-05,0.06040767362840407,0.005853913073122393
2088,2088,2504757420,"(25.6352599, 45.6347509)",25.6352599,45.6347509,0.0002247028254734,2.2470282547345445e-05,0.03941107230599976,0.00440161288090533
2089,2089,2504757437,"(25.6335963, 45.6340355)",25.6335963,45.6340355,0.0002253922648144,2.25392264814496e-05,0.039563161910244504,0.004415118029662304
2090,2090,2504850444,"(25.5853373, 45.6379678)",25.5853373,45.6379678,0.0002710007526436,2.7100075264361788e-05,0.049624347066364385,0.005308524274484947
2091,2091,2504850446,"(25.5849822, 45.6383581)",25.5849822,45.6383581,0.0006595967801547,6.595967801547129e-05,0.13534822807662977,0.012920574886476669
2092,2092,2504869321,"(25.6050252, 45.6531302)",25.6050252,45.6531302,0.0002911668310811,0.0002911668310811,0.6321528741690908,0.057035494390361374
2093,2093,2504869370,"(25.6059643, 45.6528197)",25.6059643,45.6528197,0.0002797601762884,0.0002797601762884,0.6069899118908243,0.05480109085948453
2094,2094,2504869411,"(25.6045501, 45.6525513)",25.6045501,45.6525513,0.0002234023922683,0.0001117011961341,0.23625354307803625,0.021880696100747107
2095,2095,2520717983,"(25.5636777, 45.5963921)",25.5636777,45.5963921,0.0001836718753794,1.836718753794062e-05,0.03035968723104578,0.0035978741737074434
2096,2096,2520718051,"(25.5639406, 45.5976976)",25.5639406,45.5976976,0.000483580447373,4.835804473730524e-05,0.09651920745107144,0.009472662044308145
2097,2097,2546308974,"(25.6311785, 45.6417211)",25.6311785,45.6417211,0.0002346532507864,2.346532507864298e-05,0.04160612581952719,0.004596527742949433
2098,2098,2562731279,"(25.6008889, 45.6297185)",25.6008889,45.6297185,0.0005152084210207,5.152084210207401e-05,0.10349630566521306,0.010092209644171514
2099,2099,2562737789,"(25.6006322, 45.6301293)",25.6006322,45.6301293,0.0001846420048636,1.8464200486363217e-05,0.030573696790029147,0.003616877648296238
2100,2100,2562740831,"(25.6001697, 45.6298121)",25.6001697,45.6298121,0.0004988537947253,4.988537947253748e-05,0.09988849205092895,0.009771845476020113
2101,2101,2564085437,"(25.5513841, 45.6609263)",25.5513841,45.6609263,0.000180430991595,0.000180430991595,0.3878707596946382,0.035343898103893476
2102,2102,2564085443,"(25.5512336, 45.6612675)",25.5512336,45.6612675,0.0003318568452067,0.0003318568452067,0.7219146237049725,0.06500609689267031
2103,2103,2564187392,"(25.542625, 45.6619422)",25.542625,45.6619422,0.000317492877665,3.174928776650158e-05,0.06040767362840407,0.006219239731327396
2104,2104,2564929117,"(25.5680375, 45.6880679)",25.5680375,45.6880679,0.0002623183840124,0.0002623183840124,0.5685134988597904,0.051384488625562635
