,Unnamed: 0,Node_ID,Coordinates,Longitude,Latitude,page_rank,centrality,eigenvector,closeness_centrality,betweenness_centrality,load_centrality,harmonic_centrality
1897,1897,2313090743,"(25.5812252, 45.6325299)",25.5812252,45.6325299,0.3921585044272364,0.5555555555555556,3.559775209640537e-15,0.5877384682283953,0.006480266866453075,0.006549413689688278,0.8044949780507726
1898,1898,2308993188,"(25.5806773, 45.6321555)",25.5806773,45.6321555,0.34587689502475844,0.5555555555555556,2.4988291624151834e-15,0.5935357106664703,0.003993132948384287,0.004038978198714679,0.6285793286436386
1899,1899,2264274332,"(25.6552239, 45.6085217)",25.6552239,45.6085217,0.5191136782014918,0.5555555555555556,6.493349176735213e-15,0.5384073255059763,0.013928597042785715,0.014079910910314129,0.7944088498315928
1900,1900,1118358097,"(25.6562306, 45.614344)",25.6562306,45.614344,0.7641624764674284,0.4444444444444445,6.29427913287201e-15,0.5475201246429505,0.020893962971416394,0.021120945368529962,0.7975858114340391
1901,1901,1118358126,"(25.656455, 45.6142428)",25.656455,45.6142428,0.7047944787134227,0.5555555555555556,6.189402760839559e-15,0.5568878723370548,0.055577226341118544,0.0561809917482406,0.7974606689251587
1902,1902,6798226268,"(25.6555128, 45.6149447)",25.6555128,45.6149447,0.34867493799974997,0.1111111111111111,6.3045720837957386e-15,0.5384018262508246,0.0,0.0,0.6379287102504716
1903,1903,2270924430,"(25.6566013, 45.6139384)",25.6566013,45.6139384,0.5820926148156176,0.5555555555555556,6.278885075828199e-15,0.5475030640437074,0.02783264371910788,0.028135004750282945,0.6217786722690469
1904,1904,2229508767,"(25.6559096, 45.6158411)",25.6559096,45.6158411,0.5574841598895723,0.5555555555555556,6.160335507484573e-15,0.5665208606495699,0.062426778584475,0.06310495437460953,0.8958701462129509
1905,1905,5541446216,"(25.5532241, 45.6091584)",25.5532241,45.6091584,0.3247767737771023,0.2222222222222222,6.250564177723784e-15,0.6424592921216864,0.10623103679903946,0.10738508188916872,0.7508315910133796
1906,1906,1204818931,"(25.5935329, 45.670167)",25.5935329,45.670167,0.14659520077356505,0.1111111111111111,7.505617851709886e-12,0.8252510782863298,0.0,0.0,0.6648300366945191
