weather_data,day_of_week,holiday_data,traffic_incidents,intraffic_speed,average_speed,distance_value,time_of_day,hour
6,3,0,1,24.15338345864662,25.56286472148541,2677,2,17
6,3,0,1,22.606860158311346,25.652694610778447,2380,2,17
6,3,0,1,22.606860158311346,25.652694610778447,2380,2,17
6,3,0,1,21.16394366197183,27.7239852398524,2087,2,17
6,3,0,1,24.15338345864662,25.56286472148541,2677,2,17
6,3,0,1,21.34431818181818,27.7239852398524,2087,2,17
6,3,0,1,22.488188976377952,25.652694610778447,2380,2,17
6,3,0,1,22.488188976377952,25.652694610778447,2380,2,17
6,3,0,1,17.101688555347092,22.396068796068796,2532,2,17
6,3,0,1,19.413953488372094,27.7239852398524,2087,2,17
6,3,0,1,26.84692082111437,28.698432601880878,2543,2,17
6,3,0,1,25.096875,25.56286472148541,2677,2,17
6,3,0,1,19.464248704663213,27.7239852398524,2087,2,17
6,3,0,1,25.2282722513089,25.56286472148541,2677,2,17
6,3,0,1,25.2282722513089,25.56286472148541,2677,2,17
6,3,0,1,25.2282722513089,25.56286472148541,2677,2,17
6,3,0,1,25.2282722513089,25.56286472148541,2677,2,17
6,3,0,1,25.2282722513089,25.56286472148541,2677,2,17
6,3,0,1,20.359866220735785,21.793317422434367,5073,2,17
6,3,0,0,19.943300970873786,19.982101167315175,5706,2,17
6,3,0,1,20.418853974121998,21.533333333333335,6137,2,17
6,3,0,1,19.187068965517245,22.7693094629156,4946,2,17
6,3,0,1,19.814432989690722,23.958448753462605,4805,2,17
6,3,0,1,21.629166666666666,23.715228426395942,5191,2,17
6,3,0,1,23.114285714285717,25.735493372606776,4854,2,17
6,3,0,1,23.57174721189591,25.029473684210526,5284,2,17
6,3,0,1,20.082915717539862,24.321103448275863,4898,2,17
6,3,0,1,23.47365728900256,24.442609853528626,5099,2,17
6,3,0,1,21.908089097303634,23.715228426395942,5191,2,17
6,3,0,1,22.813953488372093,26.784982935153582,4360,2,17
6,3,0,1,23.53685950413223,27.730866601752677,7911,2,17
6,3,0,0,21.676374156219865,21.469340974212034,6244,2,17
6,3,0,1,20.768904593639576,24.321103448275863,4898,2,17
6,3,0,1,25.42082738944365,25.751445086705203,4950,2,17
6,3,0,0,23.744770857814334,23.82877358490566,5613,2,17
6,3,0,1,20.152044198895027,21.08393063583815,5066,2,17
6,3,0,1,22.438302502720347,23.866666666666667,5728,2,17
6,3,0,1,21.988140161725067,23.645217391304346,4532,2,17
6,3,0,1,24.30375521557719,25.735493372606776,4854,2,17
6,3,0,1,18.022966507177035,21.221408450704228,6278,2,17
6,3,0,1,27.053354134165367,27.35205047318612,4817,2,17
6,3,0,1,23.586206896551726,24.31651376146789,5890,2,17
6,3,0,1,20.3832,21.478609062170708,5662,2,17
6,3,0,1,19.434829443447036,22.22833675564682,6014,2,17
6,3,0,0,20.14725663716814,20.327142857142857,6324,2,17
6,3,0,1,22.557496740547588,26.334246575342465,4806,2,17
6,3,0,1,19.85657142857143,26.17627118644068,7722,2,17
6,3,0,1,21.585951219512197,22.192176529588767,6146,2,17
6,3,0,1,21.382961992136305,23.645217391304346,4532,2,17
6,3,0,1,24.50827489481066,25.735493372606776,4854,2,17
6,3,0,1,23.252934407364787,23.82877358490566,5613,2,17
